,i,value_x,value_y
0,0,-33.01065886178303,-29.5
1,1,-62.5,-39.25
2,2,-61.611206423845246,-30.80610707662227
3,3,-41.4127177616461,-20.17725453931408
4,4,-41.4127177616461,-27.31815759016565
5,5,-41.4127177616461,-30.05873867716899
6,6,-41.4127177616461,-30.5977768758855
7,7,-41.4127177616461,-30.5977768758855
8,8,-33.42384700860268,-30.5977768758855
9,9,-28.827890655500013,0.2585320681282184
10,10,-28.827890655500013,0.2585320681282184
11,11,-28.827890655500013,0.2585320681282184
12,12,-28.827890655500013,0.2585320681282184
13,13,-28.827890655500013,0.2585320681282184
14,14,-28.827890655500013,0.2585320681282184
15,15,-28.827890655500013,0.2585320681282184
16,16,-28.827890655500013,0.2585320681282184
17,17,-28.827890655500013,0.2585320681282184
18,18,-28.827890655500013,0.2585320681282184
19,19,-28.827890655500013,0.2585320681282184
20,20,-11.863079624772354,0.2585320681282184
21,21,-11.863079624772354,0.2585320681282184
22,22,-6.626996666018812,1.3602192185365285
23,23,-6.626996666018812,1.3602192185365285
24,24,-6.626996666018812,1.3602192185365285
25,25,-6.626996666018812,1.3602192185365285
26,26,-6.626996666018812,1.3602192185365285
27,27,-6.626996666018812,1.3602192185365285
28,28,-6.626996666018812,1.3602192185365285
29,29,-6.626996666018812,1.3602192185365285
30,30,-6.626996666018812,2.0004224470924754
31,31,-6.626996666018812,2.0004224470924754
32,32,-6.626996666018812,2.001024856731036
33,33,-6.626996666018812,2.397897085520285
34,34,-6.626996666018812,2.397897085520285
35,35,-6.626996666018812,2.397897085520285
36,36,-6.626996666018812,2.397897085520285
37,37,-6.626996666018812,2.397897085520285
38,38,-6.626996666018812,74.61013983001087
39,39,3.465549333383933,74.61013983001087
40,40,-6.626996666018812,81.9150172996813
41,41,-6.626996666018812,74.61013983001087
42,42,-6.626996666018812,74.61013983001087
43,43,-6.626996666018812,74.61013983001087
44,44,-6.626996666018812,74.61013983001087
45,45,-6.626996666018812,74.61013983001087
46,46,-6.626996666018812,74.61013983001087
47,47,-4.71513929231854,74.61013983001087
48,48,-4.71513929231854,74.61013983001087
49,49,-4.71513929231854,74.61013983001087
50,50,-4.71513929231854,82.86718524556812
51,51,-4.71513929231854,82.86718524556812
52,52,-4.71513929231854,82.86718524556812
53,53,-4.71513929231854,82.86718524556812
54,54,-4.71513929231854,82.86718524556812
55,55,-4.71513929231854,82.86718524556812
56,56,-4.71513929231854,82.86718524556812
57,57,-4.71513929231854,80.03039453635367
58,58,-4.71513929231854,80.03039453635367
59,59,-4.71513929231854,82.86718524556812
60,60,-4.71513929231854,82.86718524556812
