,0
0,-33.01065886178303
1,-62.5
2,-61.611206423845246
3,-41.4127177616461
4,-41.4127177616461
5,-41.4127177616461
6,-41.4127177616461
7,-41.4127177616461
8,-33.42384700860268
9,-28.827890655500013
10,-28.827890655500013
11,-28.827890655500013
12,-28.827890655500013
13,-28.827890655500013
14,-28.827890655500013
15,-28.827890655500013
16,-28.827890655500013
17,-28.827890655500013
18,-28.827890655500013
19,-28.827890655500013
20,-11.863079624772354
21,-11.863079624772354
22,-6.626996666018812
23,-6.626996666018812
24,-6.626996666018812
25,-6.626996666018812
26,-6.626996666018812
27,-6.626996666018812
28,-6.626996666018812
29,-6.626996666018812
30,-6.626996666018812
31,-6.626996666018812
32,-6.626996666018812
33,-6.626996666018812
34,-6.626996666018812
35,-6.626996666018812
36,-6.626996666018812
37,-6.626996666018812
38,-6.626996666018812
39,3.465549333383933
40,-6.626996666018812
41,-6.626996666018812
42,-6.626996666018812
43,-6.626996666018812
44,-6.626996666018812
45,-6.626996666018812
46,-6.626996666018812
47,-4.71513929231854
48,-4.71513929231854
49,-4.71513929231854
50,-4.71513929231854
51,-4.71513929231854
52,-4.71513929231854
53,-4.71513929231854
54,-4.71513929231854
55,-4.71513929231854
56,-4.71513929231854
57,-4.71513929231854
58,-4.71513929231854
59,-4.71513929231854
60,-4.71513929231854
61,-4.71513929231854
62,-2.7787619914722796
63,-2.7787619914722796
64,-4.71513929231854
65,-4.71513929231854
66,-4.71513929231854
67,-4.71513929231854
68,-4.71513929231854
69,-4.71513929231854
70,-4.71513929231854
71,-4.71513929231854
72,-4.71513929231854
73,-4.71513929231854
74,-4.71513929231854
75,-4.71513929231854
76,-6.626996666018812
77,-6.626996666018812
78,-6.626996666018812
79,-6.626996666018812
80,-6.626996666018812
81,-6.626996666018812
82,-6.626996666018812
83,-6.626996666018812
84,-6.626996666018812
85,3.2461255937738542
86,3.2461255937738542
87,3.2461255937738542
88,3.2461255937738542
89,3.2461255937738542
90,3.2461255937738542
91,3.2461255937738542
92,3.2461255937738542
93,6.294248510562397
94,6.294248510562397
95,6.294248510562397
96,6.294248510562397
97,6.294248510562397
98,6.294248510562397
99,6.294248510562397
100,6.294248510562397
101,6.294248510562397
102,6.294248510562397
103,6.294248510562397
104,6.294248510562397
105,6.294248510562397
106,6.294248510562397
107,6.294248510562397
108,3.2461255937738542
109,3.2461255937738542
110,3.2461255937738542
111,3.2461255937738542
112,3.2461255937738542
113,3.2461255937738542
114,-0.8793252586252436
115,3.2461255937738542
116,3.2461255937738542
117,3.2461255937738542
118,3.2461255937738542
119,5.538518047158902
120,5.538518047158902
121,5.538518047158902
122,6.489059127421399
123,6.489059127421399
124,6.489059127421399
125,6.489059127421399
126,6.489059127421399
127,6.489059127421399
128,6.489059127421399
129,6.489059127421399
130,6.489059127421399
131,6.489059127421399
132,6.489059127421399
133,6.489059127421399
134,6.489059127421399
135,6.489059127421399
136,6.489059127421399
137,6.489059127421399
138,6.489059127421399
139,6.489059127421399
140,6.489059127421399
141,6.489059127421399
142,6.489059127421399
143,6.489059127421399
144,6.489059127421399
145,6.489059127421399
146,6.489059127421399
147,6.489059127421399
148,6.489059127421399
149,6.489059127421399
150,6.489059127421399
151,6.489059127421399
152,6.489059127421399
153,6.489059127421399
154,6.489059127421399
155,6.489059127421399
156,6.489059127421399
157,6.489059127421399
158,6.489059127421399
159,6.489059127421399
160,6.489059127421399
161,6.489059127421399
162,6.489059127421399
163,6.489059127421399
164,6.489059127421399
