,0
0,-29.5
1,-39.25
2,-30.80610707662227
3,-20.177254539314077
4,-27.318157590165654
5,-30.05873867716899
6,-30.5977768758855
7,-30.5977768758855
8,-30.5977768758855
9,0.2585320681282184
10,0.2585320681282184
11,0.2585320681282184
12,0.2585320681282184
13,0.2585320681282184
14,0.2585320681282184
15,0.2585320681282184
16,0.2585320681282184
17,0.2585320681282184
18,0.2585320681282184
19,0.2585320681282184
20,0.2585320681282184
21,0.2585320681282184
22,1.3602192185365283
23,1.3602192185365283
24,1.3602192185365283
25,1.3602192185365283
26,1.3602192185365283
27,1.3602192185365283
28,1.3602192185365283
29,1.3602192185365283
30,2.0004224470924754
31,2.0004224470924754
32,2.0010248567310356
33,2.3978970855202846
34,2.3978970855202846
35,2.3978970855202846
36,2.3978970855202846
37,2.3978970855202846
38,74.61013983001087
39,74.61013983001087
40,81.9150172996813
41,74.61013983001087
42,74.61013983001087
43,74.61013983001087
44,74.61013983001087
45,74.61013983001087
46,74.61013983001087
47,74.61013983001087
48,74.61013983001087
49,74.61013983001087
50,82.86718524556812
51,82.86718524556812
52,82.86718524556812
53,82.86718524556812
54,82.86718524556812
55,82.86718524556812
56,82.86718524556812
57,80.03039453635367
58,80.03039453635367
59,82.86718524556812
60,82.86718524556812
61,82.86718524556812
62,77.96158175253808
63,82.86718524556812
64,82.86718524556812
65,80.03039453635367
66,82.86718524556812
67,82.86718524556812
68,79.34940998086742
69,83.289784253217
70,79.34940998086742
71,92.40966568352357
72,79.34940998086742
73,79.34940998086742
74,79.34940998086742
75,79.34940998086742
76,82.86718524556812
77,82.86718524556812
78,82.86718524556812
79,82.86718524556812
80,82.86718524556812
81,82.86718524556812
82,82.86718524556812
83,84.26033853426958
84,82.86718524556812
85,82.86718524556812
86,82.86718524556812
87,82.86718524556812
88,82.86718524556812
89,82.86718524556812
90,82.86718524556812
91,82.86718524556812
92,88.01530899642336
93,82.86060693501835
94,82.86060693501835
95,82.86060693501835
96,79.89041594744683
97,82.86060693501835
98,86.7946327746292
99,82.86060693501835
100,82.86060693501835
101,82.86060693501835
102,88.48707244703138
103,82.86060693501835
104,82.86060693501835
105,79.89041594744683
106,84.63751098706891
